Year,ST,STATE,OCC_CODE,OCC_TITLE,,LOC_Q,A_MEAN,H_MEAN,TOT_EMP
2017,AL,Alabama,15-0000,Computer and Mathematical Occupations,,0.69,81870,39.36,39760
2017,AL,Alabama,15-1121,Computer Systems Analysts,,0.51,81960,39.41,4010
2017,AL,Alabama,15-1122,Information Security Analysts,,0.78,89320,42.94,1100
2017,AL,Alabama,15-1131,Computer Programmers,,2.22,87700,42.17,7420
2017,AL,Alabama,15-1132,"Software Developers, Applications",,0.48,92360,44.4,5540
2017,AL,Alabama,15-1133,"Software Developers, Systems Software",,0.7,103380,49.7,3720
2017,AL,Alabama,15-1134,Web Developers,,0.35,59560,28.63,600
2017,AL,Alabama,15-1141,Database Administrators,,1.24,82740,39.78,1910
2017,AL,Alabama,15-1142,Network and Computer Systems Administrators,,0.84,74050,35.6,4230
2017,AL,Alabama,15-1143,Computer Network Architects,,0.39,101870,48.97,830
2017,AL,Alabama,15-1151,Computer User Support Specialists,,0.72,48530,23.33,5930
2017,AL,Alabama,15-1152,Computer Network Support Specialists,,0.4,62420,30.01,1000
2017,AL,Alabama,15-1199,"Computer Occupations, All Other",,0.42,87900,42.26,1810
2017,AK,Alaska,15-0000,Computer and Mathematical Occupations,,0.57,81820,39.34,5450
2017,AK,Alaska,15-1121,Computer Systems Analysts,,0.66,72860,35.03,860
2017,AK,Alaska,15-1122,Information Security Analysts,,0.31,96390,46.34,70
2017,AK,Alaska,15-1131,Computer Programmers,,1.08,92970,44.7,600
2017,AK,Alaska,15-1132,"Software Developers, Applications",,0.18,*,*,340
2017,AK,Alaska,15-1133,"Software Developers, Systems Software",,0.14,*,*,130
2017,AK,Alaska,15-1134,Web Developers,,0.68,60040,28.87,190
2017,AK,Alaska,15-1141,Database Administrators,,0.8,81770,39.31,200
2017,AK,Alaska,15-1142,Network and Computer Systems Administrators,,1.22,83770,40.27,1020
2017,AK,Alaska,15-1143,Computer Network Architects,,0.25,107630,51.75,90
2017,AK,Alaska,15-1151,Computer User Support Specialists,,0.61,59640,28.67,830
2017,AK,Alaska,15-1152,Computer Network Support Specialists,,0.77,59310,28.52,320
2017,AK,Alaska,15-1199,"Computer Occupations, All Other",,0.77,93100,44.76,540
2017,AZ,Arizona,15-0000,Computer and Mathematical Occupations,,1.16,82940,39.87,93490
2017,AZ,Arizona,15-1111,Computer and Information Research Scientists,,0.49,109530,52.66,260
2017,AZ,Arizona,15-1121,Computer Systems Analysts,,1.19,88010,42.31,13170
2017,AZ,Arizona,15-1122,Information Security Analysts,,1.41,88270,42.44,2820
2017,AZ,Arizona,15-1131,Computer Programmers,,0.94,88700,42.64,4410
2017,AZ,Arizona,15-1132,"Software Developers, Applications",,0.93,96120,46.21,14970
2017,AZ,Arizona,15-1133,"Software Developers, Systems Software",,1.51,103990,50,11330
2017,AZ,Arizona,15-1134,Web Developers,,1.08,71180,34.22,2570
2017,AZ,Arizona,15-1141,Database Administrators,,1.12,85060,40.89,2420
2017,AZ,Arizona,15-1142,Network and Computer Systems Administrators,,1.05,82770,39.79,7480
2017,AZ,Arizona,15-1143,Computer Network Architects,,0.93,101760,48.93,2780
2017,AZ,Arizona,15-1151,Computer User Support Specialists,,1.2,50420,24.24,13950
2017,AZ,Arizona,15-1152,Computer Network Support Specialists,,1.47,66320,31.89,5180
2017,AZ,Arizona,15-1199,"Computer Occupations, All Other",,1.19,83390,40.09,7150
2017,AR,Arkansas,15-0000,Computer and Mathematical Occupations,,0.66,68360,32.87,23850
2017,AR,Arkansas,15-1111,Computer and Information Research Scientists,,0.16,96190,46.24,40
2017,AR,Arkansas,15-1121,Computer Systems Analysts,,0.72,69970,33.64,3530
2017,AR,Arkansas,15-1122,Information Security Analysts,,1.98,83070,39.94,1750
2017,AR,Arkansas,15-1131,Computer Programmers,,0.98,69520,33.43,2040
2017,AR,Arkansas,15-1132,"Software Developers, Applications",,0.52,87500,42.07,3690
2017,AR,Arkansas,15-1133,"Software Developers, Systems Software",,0.38,82580,39.7,1260
2017,AR,Arkansas,15-1134,Web Developers,,0.32,51370,24.7,340
2017,AR,Arkansas,15-1141,Database Administrators,,0.65,78470,37.73,630
2017,AR,Arkansas,15-1142,Network and Computer Systems Administrators,,0.86,67010,32.22,2720
2017,AR,Arkansas,15-1143,Computer Network Architects,,0.58,86400,41.54,780
2017,AR,Arkansas,15-1151,Computer User Support Specialists,,0.69,40630,19.53,3570
2017,AR,Arkansas,15-1152,Computer Network Support Specialists,,1.11,46350,22.28,1750
2017,AR,Arkansas,15-1199,"Computer Occupations, All Other",,0.28,72420,34.82,750
2017,CA,California,15-0000,Computer and Mathematical Occupations,,1.18,105380,50.66,590550
2017,CA,California,15-1111,Computer and Information Research Scientists,,1.76,128530,61.8,5750
2017,CA,California,15-1121,Computer Systems Analysts,,1.07,102860,49.45,72980
2017,CA,California,15-1122,Information Security Analysts,,0.69,108090,51.97,8470
2017,CA,California,15-1131,Computer Programmers,,1.17,96270,46.28,34050
2017,CA,California,15-1132,"Software Developers, Applications",,1.43,126470,60.8,141870
2017,CA,California,15-1133,"Software Developers, Systems Software",,1.79,127230,61.17,82630
2017,CA,California,15-1134,Web Developers,,1.43,84270,40.51,21150
2017,CA,California,15-1141,Database Administrators,,0.9,95630,45.98,12030
2017,CA,California,15-1142,Network and Computer Systems Administrators,,0.93,96420,46.35,40700
2017,CA,California,15-1143,Computer Network Architects,,0.91,128770,61.91,16900
2017,CA,California,15-1151,Computer User Support Specialists,,0.96,63660,30.6,69030
2017,CA,California,15-1152,Computer Network Support Specialists,,0.8,76830,36.94,17420
2017,CA,California,15-1199,"Computer Occupations, All Other",,1.3,98460,47.34,47930
2017,CO,Colorado,15-0000,Computer and Mathematical Occupations,,1.43,95240,45.79,109450
2017,CO,Colorado,15-1111,Computer and Information Research Scientists,,0.81,116400,55.96,410
2017,CO,Colorado,15-1121,Computer Systems Analysts,,0.79,96310,46.3,8240
2017,CO,Colorado,15-1122,Information Security Analysts,,1.52,103210,49.62,2870
2017,CO,Colorado,15-1131,Computer Programmers,,0.73,96100,46.2,3260
2017,CO,Colorado,15-1132,"Software Developers, Applications",,1.79,104620,50.3,27210
2017,CO,Colorado,15-1133,"Software Developers, Systems Software",,1.87,122170,58.73,13260
2017,CO,Colorado,15-1134,Web Developers,,0.95,71490,34.37,2140
2017,CO,Colorado,15-1141,Database Administrators,,1.21,92790,44.61,2470
2017,CO,Colorado,15-1142,Network and Computer Systems Administrators,,1.58,84060,40.41,10600
2017,CO,Colorado,15-1143,Computer Network Architects,,1.75,109840,52.81,4960
2017,CO,Colorado,15-1151,Computer User Support Specialists,,1.29,60170,28.93,14190
2017,CO,Colorado,15-1152,Computer Network Support Specialists,,1.08,70190,33.74,3620
2017,CO,Colorado,15-1199,"Computer Occupations, All Other",,2.54,98570,47.39,14390
2017,CT,Connecticut,15-0000,Computer and Mathematical Occupations,,1,91740,44.11,49630
2017,CT,Connecticut,15-1111,Computer and Information Research Scientists,,0.14,*,*,50
2017,CT,Connecticut,15-1121,Computer Systems Analysts,,1.06,95670,46,7170
2017,CT,Connecticut,15-1122,Information Security Analysts,,0.86,*,*,1050
2017,CT,Connecticut,15-1131,Computer Programmers,,1.83,87610,42.12,5250
2017,CT,Connecticut,15-1132,"Software Developers, Applications",,1.07,103390,49.71,10500
2017,CT,Connecticut,15-1133,"Software Developers, Systems Software",,0.93,104510,50.25,4250
2017,CT,Connecticut,15-1134,Web Developers,,0.83,76310,36.69,1210
2017,CT,Connecticut,15-1141,Database Administrators,,0.99,97670,46.96,1310
2017,CT,Connecticut,15-1142,Network and Computer Systems Administrators,,0.72,91550,44.02,3140
